Postal Code,Borough,Neighborhood,Latitude,Longitude
M3A,North York,Parkwoods,43.6534817,-79.3839347
M4A,North York,Victoria Village,43.7276,-79.3148
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6555,-79.3626
M6A,North York,"Lawrence Manor, Lawrence Heights",43.7223,-79.4504
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6534817,-79.3839347
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6662,-79.5282
M1B,Scarborough,"Malvern, Rouge",43.6534817,-79.3839347
M3B,North York,Don Mills,43.745,-79.359
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063,-79.3094
M5B,Downtown Toronto,"Garden District, Ryerson",43.6572,-79.3783
M6B,North York,Glencairn,43.7081,-79.4479
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6407412,-79.5419018
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.6534817,-79.3839347
M3C,North York,Don Mills,43.7328216,-79.3469614
M4C,East York,Woodbine Heights,43.6913,-79.3116
M5C,Downtown Toronto,St. James Town,43.6513,-79.3756
M6C,York,Humewood-Cedarvale,43.6915,-79.4307
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6441099,-79.5889069
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7678,-79.1866
M4E,East Toronto,The Beaches,43.6784,-79.2941
M5E,Downtown Toronto,Berczy Park,43.6421064,-79.3774455
M6E,York,Caledonia-Fairbanks,43.6889,-79.4507
M1G,Scarborough,Woburn,43.7657168,-79.2218984
M4G,East York,Leaside,43.7124,-79.3644
M5G,Downtown Toronto,Central Bay Street,43.6564,-79.386
M6G,Downtown Toronto,Christie,43.6683,-79.4205
M1H,Scarborough,Cedarbrae,43.7686,-79.2389
M2H,North York,Hillcrest Village,43.8015,-79.3577
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7535,-79.4472
M4H,East York,Thorncliffe Park,43.7059,-79.3464
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6498955,-79.3826949
M6H,West Toronto,"Dufferin, Dovercourt Village",43.6655,-79.4378
M1J,Scarborough,Scarborough Village,43.7464,-79.2323
M2J,North York,"Fairview, Henry Farm, Oriole",43.7797719,-79.3661846
M3J,North York,"Northwood Park, York University",43.7694,-79.4921
M4J,East York,"East Toronto, Broadview North (Old East York)",43.6872,-79.3368
